[rospy.client][INFO] 2017-06-10 22:39:25,471: init_node, name[/marker_control_19358_1497159565423], pid[19358]
[xmlrpc][INFO] 2017-06-10 22:39:25,471: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-06-10 22:39:25,477: Started XML-RPC server [http://ip-172-31-26-229:38167/]
[rospy.init][INFO] 2017-06-10 22:39:25,477: ROS Slave URI: [http://ip-172-31-26-229:38167/]
[rospy.impl.masterslave][INFO] 2017-06-10 22:39:25,480: _ready: http://ip-172-31-26-229:38167/
[rospy.registration][INFO] 2017-06-10 22:39:25,488: Registering with master node http://localhost:37293
[xmlrpc][INFO] 2017-06-10 22:39:25,488: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-06-10 22:39:25,584: registered with master
[rospy.rosout][INFO] 2017-06-10 22:39:25,588: initializing /rosout core topic
[rospy.rosout][INFO] 2017-06-10 22:39:25,597: connected to core topic /rosout
[rospy.simtime][INFO] 2017-06-10 22:39:25,602: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-06-10 22:39:25,811: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-06-10 22:39:25,873: topic[/collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-10 22:39:25,877: topic[/attached_collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-10 22:39:25,915: topic[/control_markers/update] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-10 22:39:26,317: topic[/control_markers/update_full] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-10 22:39:30,483: topic[/visualization_marker_array] adding connection to [/rosbridge_websocket], count 0
[rospy.internal][INFO] 2017-06-10 22:39:30,576: topic[/control_markers/feedback] adding connection to [http://ip-172-31-26-229:45938/], count 0
[rospy.internal][INFO] 2017-06-10 22:39:40,027: topic[/joint_trajectory] adding connection to [http://ip-172-31-26-229:43146/], count 0
[rospy.internal][INFO] 2017-06-10 22:39:40,035: topic[/motion_planning_goal] adding connection to [/move_arm_20229_1497159579613], count 0
