[rospy.client][INFO] 2017-06-10 02:12:34,593: init_node, name[/marker_control_2857_1497085954552], pid[2857]
[xmlrpc][INFO] 2017-06-10 02:12:34,593: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-06-10 02:12:34,596: Started XML-RPC server [http://ip-172-31-26-229:51981/]
[rospy.init][INFO] 2017-06-10 02:12:34,597: ROS Slave URI: [http://ip-172-31-26-229:51981/]
[rospy.impl.masterslave][INFO] 2017-06-10 02:12:34,600: _ready: http://ip-172-31-26-229:51981/
[xmlrpc][INFO] 2017-06-10 02:12:34,608: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-06-10 02:12:34,608: Registering with master node http://localhost:51639
[rospy.init][INFO] 2017-06-10 02:12:34,704: registered with master
[rospy.rosout][INFO] 2017-06-10 02:12:34,708: initializing /rosout core topic
[rospy.rosout][INFO] 2017-06-10 02:12:34,717: connected to core topic /rosout
[rospy.simtime][INFO] 2017-06-10 02:12:34,723: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-06-10 02:12:34,991: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-06-10 02:12:35,017: topic[/collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-10 02:12:35,022: topic[/attached_collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-10 02:12:35,027: topic[/control_markers/update] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-10 02:12:35,529: topic[/control_markers/update_full] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-10 02:12:59,401: topic[/visualization_marker_array] adding connection to [/rosbridge_websocket], count 0
[rospy.internal][INFO] 2017-06-10 02:12:59,455: topic[/control_markers/feedback] adding connection to [http://ip-172-31-26-229:55264/], count 0
[rospy.internal][INFO] 2017-06-10 02:13:07,294: topic[/joint_trajectory] adding connection to [http://ip-172-31-26-229:42641/], count 0
[rospy.internal][INFO] 2017-06-10 02:13:07,302: topic[/motion_planning_goal] adding connection to [/move_arm_3791_1497085986914], count 0
